"DXXLAA.Code.or.Value","DXXLAA.Value.Description","DXXLAA.Count","DXXLAA.Cumulative","DXXLAA.Skip.to.Item"
"71.22 to 392.54","Range of Values",4095,4095,NA
".","Missing",1019,5114,NA
