"TYXP102.Code.or.Value","TYXP102.Value.Description","TYXP102.Count","TYXP102.Cumulative","TYXP102.Skip.to.Item"
"-284 to 75","Range of Values",8459,8459,NA
".","Missing",10,8469,NA
