"VTQ210.Code.or.Value","VTQ210.Value.Description","VTQ210.Count","VTQ210.Cumulative","VTQ210.Skip.to.Item"
"1","Yes",1346,1346,NA
"2","No",1762,3108,NA
"7","Refused",0,3108,NA
"9","Don't know",1,3109,NA
".","Missing",380,3489,NA
