"SLD010H.Code.or.Value","SLD010H.Value.Description","SLD010H.Count","SLD010H.Cumulative","SLD010H.Skip.to.Item"
"1 to 11","Range of Values",6498,6498,NA
"12","12 hours or more",40,6538,NA
"77","Refused",0,6538,NA
"99","Don't know",8,6546,NA
".","Missing",0,6546,NA
