"ECQ060.Code.or.Value","ECQ060.Value.Description","ECQ060.Count","ECQ060.Cumulative","ECQ060.Skip.to.Item"
"1","Yes",555,555,NA
"2","No",3622,4177,NA
"7","Refused",0,4177,NA
"9","Don't know",30,4207,NA
".","Missing",2,4209,NA
