"DMDMARTL.Code.or.Value","DMDMARTL.Value.Description","DMDMARTL.Count","DMDMARTL.Cumulative","DMDMARTL.Skip.to.Item"
"1","Married",2721,2721,NA
"2","Widowed",588,3309,NA
"3","Divorced",473,3782,NA
"4","Separated",137,3919,NA
"5","Never married",2502,6421,NA
"6","Living with partner",345,6766,NA
"77","Refused",0,6766,NA
"99","Don't know",0,6766,NA
".","Missing",3356,10122,NA
