"LBXB12.Code.or.Value","LBXB12.Value.Description","LBXB12.Count","LBXB12.Cumulative","LBXB12.Skip.to.Item"
"34 to 34254","Range of Values",8267,8267,NA
".","Missing",912,9179,NA
