"LB2COTLC.Code.or.Value","LB2COTLC.Value.Description","LB2COTLC.Count","LB2COTLC.Cumulative","LB2COTLC.Skip.to.Item"
"0","detectable result",441,441,NA
"1","below detectable limit",104,545,NA
".","Missing",6,551,NA
