"ARQ022AA.Code.or.Value","ARQ022AA.Value.Description","ARQ022AA.Count","ARQ022AA.Cumulative","ARQ022AA.Skip.to.Item"
"1","Yes",468,468,"ARQ024a"
"2","No",70,538,""
"7","Refused",0,538,""
"9","Don't know",0,538,""
".","Missing",4568,5106,""
