"DR2IFOLA.Code.or.Value","DR2IFOLA.Value.Description","DR2IFOLA.Count","DR2IFOLA.Cumulative","DR2IFOLA.Skip.to.Item"
"0 to 2649","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
