"LBXGLU.Code.or.Value","LBXGLU.Value.Description","LBXGLU.Count","LBXGLU.Cumulative","LBXGLU.Skip.to.Item"
"38.4 to 686.2","Range of Values",3441,3441,NA
".","Missing",225,3666,NA
