"URXBP3.Code.or.Value","URXBP3.Value.Description","URXBP3.Count","URXBP3.Cumulative","URXBP3.Skip.to.Item"
"0.28 to 66600","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
