"MPQ120k.Code.or.Value","MPQ120k.Value.Description","MPQ120k.Count","MPQ120k.Cumulative","MPQ120k.Skip.to.Item"
"20","Upper back - right",125,125,NA
".","Missing",5286,5411,NA
