"LBXET1.Code.or.Value","LBXET1.Value.Description","LBXET1.Count","LBXET1.Cumulative","LBXET1.Skip.to.Item"
"0.28 to 85.3","Range of Values",3782,3782,NA
".","Missing",1861,5643,NA
