"FSD670ZC.Code.or.Value","FSD670ZC.Value.Description","FSD670ZC.Count","FSD670ZC.Cumulative","FSD670ZC.Skip.to.Item"
"0 to 72","Range of Values",2903,2903,NA
"777","Refused",0,2903,NA
"999","Don't know",18,2921,NA
".","Missing",6835,9756,NA
