"DR1IM201.Code.or.Value","DR1IM201.Value.Description","DR1IM201.Count","DR1IM201.Cumulative","DR1IM201.Skip.to.Item"
"0 to 3.202","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
