"LBXCOT.Code.or.Value","LBXCOT.Value.Description","LBXCOT.Count","LBXCOT.Cumulative","LBXCOT.Skip.to.Item"
"0.015 to 1639","Range of Values",6478,6478,NA
"0.011","Below Limit of Detection",1314,7792,NA
".","Missing",764,8556,NA
