"SXQ120.Code.or.Value","SXQ120.Value.Description","SXQ120.Count","SXQ120.Cumulative","SXQ120.Skip.to.Item"
"0 to 85","Range of Values",1522,1522,NA
"77777","Refused",0,1522,NA
"99999","Don't know",0,1522,NA
".","Missing",1877,3399,NA
