"LBC099LA.Code.or.Value","LBC099LA.Value.Description","LBC099LA.Count","LBC099LA.Cumulative","LBC099LA.Skip.to.Item"
"0.3821 to 30.63","Range of Values",282,282,NA
".","Missing",2,284,NA
