"SMD430.Code.or.Value","SMD430.Value.Description","SMD430.Count","SMD430.Cumulative","SMD430.Skip.to.Item"
"1 to 37","Range of Values",1807,1807,NA
"40","40 or More",186,1993,NA
".","Missing",8129,10122,NA
