"DR1TVARA.Code.or.Value","DR1TVARA.Value.Description","DR1TVARA.Count","DR1TVARA.Cumulative","DR1TVARA.Skip.to.Item"
"0 to 19476","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
