"LBC167LA.Code.or.Value","LBC167LA.Value.Description","LBC167LA.Count","LBC167LA.Cumulative","LBC167LA.Skip.to.Item"
"0.08485 to 11.26","Range of Values",281,281,NA
".","Missing",3,284,NA
