"ACD040.Code.or.Value","ACD040.Value.Description","ACD040.Count","ACD040.Cumulative","ACD040.Skip.to.Item"
"1","Only Spanish,",767,767,NA
"2","More Spanish than English",438,1205,NA
"3","Both equally",533,1738,NA
"4","More English than Spanish",554,2292,NA
"5","Only English",588,2880,NA
"7","Refused",0,2880,NA
"9","Don't know",2,2882,NA
".","Missing",6109,8991,NA
