"URXAPE.Code.or.Value","URXAPE.Value.Description","URXAPE.Count","URXAPE.Cumulative","URXAPE.Skip.to.Item"
"0.18 to 18.56","Range of Values",2546,2546,NA
".","Missing",210,2756,NA
