"LBDBR1LC.Code.or.Value","LBDBR1LC.Value.Description","LBDBR1LC.Count","LBDBR1LC.Cumulative","LBDBR1LC.Skip.to.Item"
"0","At or above the detection limit",26,26,NA
"1","Below lower detection limit",238,264,NA
".","Missing",0,264,NA
