"DS1ICHL.Code.or.Value","DS1ICHL.Value.Description","DS1ICHL.Count","DS1ICHL.Cumulative","DS1ICHL.Skip.to.Item"
"0.003 to 1000","Range of Values",383,383,NA
".","Missing",5575,5958,NA
