"LBDHDDSI.Code.or.Value","LBDHDDSI.Value.Description","LBDHDDSI.Count","LBDHDDSI.Cumulative","LBDHDDSI.Skip.to.Item"
"0.26 to 4.89","Range of Values",6738,6738,NA
".","Missing",697,7435,NA
