"GTDDR1MN.Code.or.Value","GTDDR1MN.Value.Description","GTDDR1MN.Count","GTDDR1MN.Cumulative","GTDDR1MN.Skip.to.Item"
"0 to 49","Range of Values",2329,2329,NA
".","Missing",486,2815,NA
