"SSCYFLSG.Code.or.Value","SSCYFLSG.Value.Description","SSCYFLSG.Count","SSCYFLSG.Cumulative","SSCYFLSG.Skip.to.Item"
"0 to 3","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
