"LBDHGLLC.Code.or.Value","LBDHGLLC.Value.Description","LBDHGLLC.Count","LBDHGLLC.Cumulative","LBDHGLLC.Skip.to.Item"
"0","At or above the detection limit",4182,4182,NA
"1","Below lower detection limit",0,4182,NA
".","Missing",1461,5643,NA
