"DR1TPROT.Code.or.Value","DR1TPROT.Value.Description","DR1TPROT.Count","DR1TPROT.Cumulative","DR1TPROT.Skip.to.Item"
"1.06 to 443.94","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
