"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"35 to 759","Range of Values",6348,6348,NA
".","Missing",632,6980,NA
