"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",383,383,""
"2","No",5568,5951,"DRD370G"
".","Missing",4302,10253,""
