"ECQ030.Code.or.Value","ECQ030.Value.Description","ECQ030.Count","ECQ030.Cumulative","ECQ030.Skip.to.Item"
"1","Yes",214,214,""
"2","No",329,543,"ECQ060"
"7","Refused",1,544,"ECQ060"
"9","Don't know",20,564,"ECQ060"
".","Missing",3645,4209,""
