"DS1ACTSS.Code.or.Value","DS1ACTSS.Value.Description","DS1ACTSS.Count","DS1ACTSS.Cumulative","DS1ACTSS.Skip.to.Item"
"0.08 to 15","Range of Values",5525,5525,NA
"999","Don't know",0,5525,NA
".","Missing",169,5694,NA
