"CIQG17F.Code.or.Value","CIQG17F.Value.Description","CIQG17F.Count","CIQG17F.Cumulative","CIQG17F.Skip.to.Item"
"1","Yes",59,59,NA
"2","No",32,91,NA
"7","Refused",0,91,NA
"9","Don't know",0,91,NA
".","Missing",687,778,NA
