"DR1ITFAT.Code.or.Value","DR1ITFAT.Value.Description","DR1ITFAT.Count","DR1ITFAT.Cumulative","DR1ITFAT.Skip.to.Item"
"0 to 242.66","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
