"BPQ040E.Code.or.Value","BPQ040E.Value.Description","BPQ040E.Count","BPQ040E.Cumulative","BPQ040E.Skip.to.Item"
"1","Yes",361,361,NA
"2","No",1315,1676,NA
"7","Refused",0,1676,NA
"9","Don't know",5,1681,NA
".","Missing",4953,6634,NA
