"SSGIV1CM.Code.or.Value","SSGIV1CM.Value.Description","SSGIV1CM.Count","SSGIV1CM.Cumulative","SSGIV1CM.Skip.to.Item"
"0 to 100000","Range of Values",867,867,NA
".","Missing",79,946,NA
