"SSKLOTH.Code.or.Value","SSKLOTH.Value.Description","SSKLOTH.Count","SSKLOTH.Cumulative","SSKLOTH.Skip.to.Item"
"151.3 to 2605.1","Range of Values",2767,2767,NA
".","Missing",0,2767,NA
