"CIQP70.Code.or.Value","CIQP70.Value.Description","CIQP70.Count","CIQP70.Cumulative","CIQP70.Skip.to.Item"
"0 to 365","Range of Values",55,55,NA
"777","Refused",0,55,NA
"999","Don't know",1,56,NA
".","Missing",872,928,NA
