"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"1 to 29565","Range of Values",8014,8014,NA
"7777777","Refused",0,8014,NA
"9999999","Don't know",20,8034,NA
".","Missing",235,8269,NA
