"CVDR1SY.Code.or.Value","CVDR1SY.Value.Description","CVDR1SY.Count","CVDR1SY.Cumulative","CVDR1SY.Skip.to.Item"
"60 to 260","Range of Values",2783,2783,NA
".","Missing",1819,4602,NA
