"DXXLRBMC.Code.or.Value","DXXLRBMC.Value.Description","DXXLRBMC.Count","DXXLRBMC.Cumulative","DXXLRBMC.Skip.to.Item"
"17.07 to 167.72","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
