"DS1ISUGR.Code.or.Value","DS1ISUGR.Value.Description","DS1ISUGR.Count","DS1ISUGR.Cumulative","DS1ISUGR.Skip.to.Item"
"0.03 to 24","Range of Values",669,669,NA
".","Missing",5289,5958,NA
