"DR2IS140.Code.or.Value","DR2IS140.Value.Description","DR2IS140.Count","DR2IS140.Cumulative","DR2IS140.Skip.to.Item"
"0 to 13.928","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
