"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.82 to 997","Range of Values",2654,2654,NA
".","Missing",101,2755,NA
