"AUXROCOL.Code.or.Value","AUXROCOL.Value.Description","AUXROCOL.Count","AUXROCOL.Cumulative","AUXROCOL.Skip.to.Item"
"1","Yes (checkbox checked)",3,3,NA
"2","No (checkbox unchecked)",4366,4369,NA
".","Missing",213,4582,NA
