"VTD281B.Code.or.Value","VTD281B.Value.Description","VTD281B.Count","VTD281B.Cumulative","VTD281B.Skip.to.Item"
"2 to 48","Range of Values",51,51,NA
"77","Refused",0,51,NA
"99","Don't know",0,51,NA
".","Missing",3343,3394,NA
