"DR1IP183.Code.or.Value","DR1IP183.Value.Description","DR1IP183.Count","DR1IP183.Cumulative","DR1IP183.Skip.to.Item"
"0 to 12.648","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
