"OSQ090g.Code.or.Value","OSQ090g.Value.Description","OSQ090g.Count","OSQ090g.Cumulative","OSQ090g.Skip.to.Item"
"1","Yes",7,7,NA
"2","No",0,7,NA
"7","Refused",0,7,NA
"9","Don't know",0,7,NA
".","Missing",6211,6218,NA
