"LBX196LA.Code.or.Value","LBX196LA.Value.Description","LBX196LA.Count","LBX196LA.Cumulative","LBX196LA.Skip.to.Item"
"1.1 to 96.1","Range of Values",2299,2299,NA
".","Missing",248,2547,NA
