"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"10 to 32","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
