"BPQ090C.Code.or.Value","BPQ090C.Value.Description","BPQ090C.Count","BPQ090C.Cumulative","BPQ090C.Skip.to.Item"
"1","Yes",1373,1373,NA
"2","No",497,1870,NA
"7","Refused",0,1870,NA
"9","Don't know",5,1875,NA
".","Missing",5014,6889,NA
