"DXXL4BMC.Code.or.Value","DXXL4BMC.Value.Description","DXXL4BMC.Count","DXXL4BMC.Cumulative","DXXL4BMC.Skip.to.Item"
"4.03 to 46.5","Range of Values",6192,6192,NA
".","Missing",1542,7734,NA
