"RDQ135.Code.or.Value","RDQ135.Value.Description","RDQ135.Count","RDQ135.Cumulative","RDQ135.Skip.to.Item"
"1","Not at all,",739,739,NA
"2","A little,",324,1063,NA
"3","A fair amount,",126,1189,NA
"4","A moderate amount, or",60,1249,NA
"5","A lot?",82,1331,NA
"7","Refused",0,1331,NA
"9","Don't know",0,1331,NA
".","Missing",8335,9666,NA
