"LBCPDT.Code.or.Value","LBCPDT.Value.Description","LBCPDT.Count","LBCPDT.Cumulative","LBCPDT.Skip.to.Item"
"3.536 to 1196","Range of Values",251,251,NA
".","Missing",0,251,NA
