"TYXA178.Code.or.Value","TYXA178.Value.Description","TYXA178.Count","TYXA178.Cumulative","TYXA178.Skip.to.Item"
"0.32 to 6.558","Range of Values",2296,2296,NA
".","Missing",6173,8469,NA
