"DR1IVB2.Code.or.Value","DR1IVB2.Value.Description","DR1IVB2.Count","DR1IVB2.Cumulative","DR1IVB2.Skip.to.Item"
"0 to 11.546","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
