"OCQ330a.Code.or.Value","OCQ330a.Value.Description","OCQ330a.Count","OCQ330a.Cumulative","OCQ330a.Skip.to.Item"
"1","Latex rubber,",458,458,NA
"7","Refused",0,458,NA
"9","Don't know",4,462,NA
".","Missing",6833,7295,NA
