"DR2TP226.Code.or.Value","DR2TP226.Value.Description","DR2TP226.Count","DR2TP226.Cumulative","DR2TP226.Skip.to.Item"
"0 to 5.316","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
