"DS2IIRON.Code.or.Value","DS2IIRON.Value.Description","DS2IIRON.Count","DS2IIRON.Cumulative","DS2IIRON.Skip.to.Item"
"0.0004 to 260","Range of Values",1145,1145,NA
".","Missing",4503,5648,NA
