"LBXZOX.Code.or.Value","LBXZOX.Value.Description","LBXZOX.Count","LBXZOX.Cumulative","LBXZOX.Skip.to.Item"
"0.1315342546 to 2320.98","Range of Values",646,646,NA
".","Missing",205,851,NA
