"OSQ090d.Code.or.Value","OSQ090d.Value.Description","OSQ090d.Count","OSQ090d.Cumulative","OSQ090d.Skip.to.Item"
"1","Yes",39,39,"OSQ120d"
"2","No",5,44,""
"7","Refused",0,44,"OSQ120d"
"9","Don't know",0,44,"OSQ120d"
".","Missing",4935,4979,""
